line	trial	grain yield	plant height	heading date	kernel weight
'ASPLUND'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	36
'ASPLUND'	NSGC_2012_NormN-Irr_Aberdeen	2912	117	NA	NA
'ASPLUND'	NSGC_2012_NormN-Dry_Aberdeen	3234	93	NA	NA
'ASPLUND'	NSGC_2012_LowN-Dry_Aberdeen	3187	88	NA	NA
'GOOD_DELTA'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	39
'GOOD_DELTA'	NSGC_2012_NormN-Irr_Aberdeen	8139	111	NA	NA
'GOOD_DELTA'	NSGC_2012_NormN-Dry_Aberdeen	5107	91	NA	NA
'GOOD_DELTA'	NSGC_2012_LowN-Dry_Aberdeen	3084	89	NA	NA
'GOOD_DELTA'	NSGC_2013_NN-TD_Aberdeen	6278	86	NA	NA
'HANNA'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	44
'MANCHURIA'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	39
'MASKIN'	GRINcore_2011_Agron_Aberdeen	NA	NA	NA	43
'MASKIN'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	41
'MONTE_CRISTO'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	37
'NDB138'	GRINcore_2011_Agron_Aberdeen	NA	NA	NA	34
'NDB138'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	41
'OMUGI'	GRINcore_2011_Agron_Aberdeen	NA	NA	NA	32
'OMUGI'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	30
'OPAVSKY'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	44
'SMOOTH_AWN'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	37
'SMOOTH_AWN'	NSGC_2012_NormN-Irr_Aberdeen	3985	121	NA	NA
'SMOOTH_AWN'	NSGC_2012_NormN-Dry_Aberdeen	2023	104	NA	NA
'SMOOTH_AWN'	NSGC_2012_LowN-Dry_Aberdeen	967	91	NA	NA
'SMOOTH_AWN'	NSGC_2013_NN-TD_Aberdeen	5567	100	NA	NA
'ATLAS'	GRINcore_2011_Agron_Aberdeen	NA	NA	NA	50
'ATLAS'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	46
'DIAMANT'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	46
'TRIUMPH'	GRINcore_2011_Agron_Aberdeen	NA	NA	NA	46
'TRIUMPH'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	44
'ALEXIS'	GRINcore_2011_Agron_Aberdeen	NA	NA	NA	51
'ALEXIS'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	53
'BALDER'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	46
'CENTENNIAL'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	45
'HANACKY_JUBILENI'	GRINcore_2012_Agron_Aberdeen	NA	NA	NA	40
'HARRINGTON'	105_2006_Bozeman05	5498	89.5	NA	38.186083880284
'HARRINGTON'	4706_2006_Bozeman	6172	NA	NA	37.775625273684
'HARRINGTON'	806_2006_Huntley	3992	68.7	NA	NA
'HARRINGTON'	PYN-2_2006_Aberdeen	6670.470144	81.28	62	41.257635399895
'HARRINGTON'	PYN-2_2006_SodaSprings	2971.492992	55.88	60	37.378698933749
'HARRINGTON'	PYN-2_2006_Tetonia	3643.016832	60.96	61	32.462491707951
'HARRINGTON'	CAP1_2006_Pullman	5479	86	63	32.7
'HARRINGTON'	CAP2_2006_Pullman	5084	87	64	32
'HARRINGTON'	CAP3_2006_Pullman	4838	85	64	32.5
'HARRINGTON'	Expt12_2006_Carrington	4626.8	55.8	66.3	NA
'HARRINGTON'	Expt13_2006_Carrington	3717.58	86.3	65.8	NA
'HARRINGTON'	Expt12_2006_Langdon	4207.16	NA	NA	NA
'HARRINGTON'	Expt13_2006_Langdon	3346.36	NA	NA	NA
'HARRINGTON'	Expt12_2006_Minot	4045.76	67.5	58.1	NA
'HARRINGTON'	Expt13_2006_Minot	4164.12	70.9	60	NA
'HARRINGTON'	Expt12_2006_NessonValley	31.3	84.7	54.8	NA
'HARRINGTON'	Expt13_2006_NessonValley	51.5	92.9	54.1	NA
'HARRINGTON'	Expt12_2006_Sidney	3470.1	81.8	57	NA
'HARRINGTON'	Expt13_2006_Sidney	3432.44	82.8	57	NA
'HARRINGTON'	Expt12_2006_Williston	1597.86	62.6	60.9	NA
'HARRINGTON'	Expt13_2006_Williston	1490.26	58.4	61	NA
